"BehaviorSpace results (NetLogo 6.2.0)"
"Projet_IA.nlogo"
"experiment go-ahead [0 .1 1]"
"03/28/2021 11:43:38:619 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","19","0","19"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11"
"nb-turtle","4",,"4",,"4",,"4",,"4",,"4",,"4",,"4",,"4",,"4",,"4",
"go-ahead","0",,"0.1",,"0.2",,"0.3",,"0.4",,"0.5",,"0.6",,"0.7",,"0.8",,"0.9",,"1",
"p","0.005",,"0.005",,"0.005",,"0.005",,"0.005",,"0.005",,"0.005",,"0.005",,"0.005",,"0.005",,"0.005",
"[reporter]","igi","iwi","igi","iwi","igi","iwi","igi","iwi","igi","iwi","igi","iwi","igi","iwi","igi","iwi","igi","iwi","igi","iwi","igi","iwi"
"[final]","55.865","100","58.7225","100","55.265","100","55.8525","100","56.11","100","56.5975","100","55.6","100","54.5425","100","54.96","100","56.895","100","54.49","100"
"[min]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"[max]","55.865","100","58.7225","100","55.265","100","55.8525","100","56.11","100","56.5975","100","55.6","100","54.5425","100","54.96","100","56.895","100","54.49","100"
"[mean]","34.64274752475247","50","35.3154702970297","50","34.48240099009901","50","34.637896039603945","50","34.61975247524753","50","34.53608910891088","50","34.60143564356435","50","34.8611386138614","50","34.98804455445544","50","35.497896039603965","50","34.63141089108911","50"
"[steps]","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"

"[all run data]","igi","iwi","igi","iwi","igi","iwi","igi","iwi","igi","iwi","igi","iwi","igi","iwi","igi","iwi","igi","iwi","igi","iwi","igi","iwi"
,"23.5575","27","23.56","27","23.615","27","23.4925","27","23.52","27","23.49","27","23.5425","27","23.49","27","23.53","27","23.5825","27","23.49","27"
,"24.345","28","24.3325","28","24.345","28","24.2225","28","24.25","28","24.22","28","24.315","28","24.22","28","24.26","28","24.3125","28","24.22","28"
,"25.065","29","25.0925","29","25.065","29","24.9425","29","24.97","29","24.99","29","25.035","29","24.94","29","24.98","29","25.0325","29","24.94","29"
,"25.775","30","25.83","30","25.775","30","25.6525","30","25.68","30","25.7","30","25.745","30","25.65","30","25.7075","30","25.7425","30","25.65","30"
,"26.475","31","26.555","31","26.475","31","26.3825","31","26.38","31","26.4","31","26.445","31","26.35","31","26.4075","31","26.4425","31","26.35","31"
,"27.165","32","27.2625","32","27.185","32","27.0725","32","27.07","32","27.1325","32","27.135","32","27.04","32","27.0975","32","27.1325","32","27.04","32"
,"27.845","33","27.9975","33","27.8825","33","27.7525","33","27.75","33","27.8125","33","27.815","33","27.775","33","27.7775","33","27.8125","33","27.72","33"
,"28.515","34","28.705","34","28.5525","34","28.4225","34","28.42","34","28.535","34","28.485","34","28.5075","34","28.4475","34","28.4825","34","28.39","34"
,"29.175","35","29.4","35","29.2125","35","29.0825","35","29.08","35","29.195","35","29.145","35","29.2225","35","29.1075","35","29.1625","35","29.05","35"
,"29.825","36","30.05","36","29.8625","36","29.7325","36","29.73","36","29.845","36","29.795","36","29.9025","36","29.7575","36","29.83","36","29.7","36"
,"30.465","37","30.69","37","30.5475","37","30.3725","37","30.37","37","30.495","37","30.435","37","30.57","37","30.3975","37","30.485","37","30.34","37"
,"31.095","38","31.32","38","31.1775","38","31.0025","38","31","38","31.1275","38","31.065","38","31.2725","38","31.0275","38","31.205","38","30.97","38"
,"31.715","39","31.94","39","31.7975","39","31.6225","39","31.6825","39","31.7475","39","31.685","39","31.96","39","31.6675","39","31.835","39","31.59","39"
,"32.325","40","32.55","40","32.4075","40","32.27","40","32.3475","40","32.37","40","32.295","40","32.6325","40","32.3775","40","32.4525","40","32.2","40"
,"32.925","41","33.15","41","33.0075","41","32.87","41","32.9475","41","32.985","41","32.895","41","33.29","41","33.0125","41","33.0575","41","32.8","41"
,"33.515","42","33.74","42","33.5975","42","33.46","42","33.5375","42","33.5925","42","33.5625","42","33.9175","42","33.63","42","33.6525","42","33.3975","42"
,"34.095","43","34.32","43","34.1775","43","34.04","43","34.1175","43","34.1925","43","34.1425","43","34.5325","43","34.24","43","34.2375","43","33.985","43"
,"34.7525","44","34.9725","44","34.7475","44","34.61","44","34.6875","44","34.7625","44","34.7125","44","35.135","44","34.8425","44","34.8075","44","34.565","44"
,"35.3125","45","35.6125","45","35.3075","45","35.17","45","35.2475","45","35.3225","45","35.3125","45","35.7525","45","35.4375","45","35.3675","45","35.1375","45"
,"35.87","46","36.175","46","35.8575","46","35.72","46","35.7975","46","35.8725","46","35.9","46","36.3625","46","36.11","46","35.975","46","35.6875","46"
,"36.415","47","36.725","47","36.3975","47","36.26","47","36.3375","47","36.4125","47","36.475","47","36.98","47","36.79","47","36.6875","47","36.2275","47"
